no,lokasi,objek_wisata_seq
53,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 2,Air Terjun Madakaripura,Pananjakan,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
54,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 3,Air Terjun Madakaripura,Pananjakan,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
55,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 1,Air Terjun Madakaripura,Pananjakan,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
56,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 2,Air Terjun Madakaripura,Pananjakan,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
57,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 3,Air Terjun Madakaripura,Pananjakan,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
58,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 1,Air Terjun Madakaripura,Pananjakan,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
59,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 2,Air Terjun Madakaripura,Pananjakan,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
60,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 3,Air Terjun Madakaripura,Pananjakan,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
61,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 1,Air Terjun Madakaripura,Bukit Kingkong,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
62,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 2,Air Terjun Madakaripura,Bukit Kingkong,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
63,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 3,Air Terjun Madakaripura,Bukit Kingkong,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
64,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 1,Air Terjun Madakaripura,Bukit Kingkong,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
65,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 2,Air Terjun Madakaripura,Bukit Kingkong,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
66,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 3,Air Terjun Madakaripura,Bukit Kingkong,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
67,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 1,Air Terjun Madakaripura,Bukit Kingkong,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
68,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 2,Air Terjun Madakaripura,Bukit Kingkong,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
69,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 3,Air Terjun Madakaripura,Bukit Kingkong,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
70,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 1,Air Terjun Madakaripura,Bukit Kingkong,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
71,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 2,Air Terjun Madakaripura,Bukit Kingkong,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
72,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 3,Air Terjun Madakaripura,Bukit Kingkong,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
73,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 1,Air Terjun Madakaripura,Bukit Cinta,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
74,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 2,Air Terjun Madakaripura,Bukit Cinta,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
75,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 3,Air Terjun Madakaripura,Bukit Cinta,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
76,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 1,Air Terjun Madakaripura,Bukit Cinta,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
77,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 2,Air Terjun Madakaripura,Bukit Cinta,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
78,Malang,"Kampung Warna Warni,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 3,Air Terjun Madakaripura,Bukit Cinta,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
79,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 1,Air Terjun Madakaripura,Bukit Cinta,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
80,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 2,Air Terjun Madakaripura,Bukit Cinta,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
81,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Perkebunan Petani Bumiaji,Jatim Park 3,Air Terjun Madakaripura,Bukit Cinta,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
82,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 1,Air Terjun Madakaripura,Bukit Cinta,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
83,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 2,Air Terjun Madakaripura,Bukit Cinta,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
84,Malang,"Malang Heritage Kayu Tangan,Museum Angkut,Batu Night Spectacular,Taman Langit – Oma Kayu Paralayang,Jatim Park 3,Air Terjun Madakaripura,Bukit Cinta,Kawah Bromo,Kawah Bromo,Kawah Bromo,Gunung Batok"
85,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Perkebunan Petani Bumiaji"
86,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Perkebunan Petani Bumiaji"
87,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Perkebunan Petani Bumiaji"
88,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Perkebunan Petani Bumiaji"
89,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Perkebunan Petani Bumiaji"
90,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Perkebunan Petani Bumiaji"
91,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Perkebunan Petani Bumiaji"
92,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Perkebunan Petani Bumiaji"
93,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Perkebunan Petani Bumiaji"
94,Malang,"Pantai Gua Cina,Pantai Balekambang,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Perkebunan Petani Bumiaji"
95,Malang,"Pantai Gua Cina,Pantai Balekambang,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Perkebunan Petani Bumiaji"
96,Malang,"Pantai Gua Cina,Pantai Balekambang,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Perkebunan Petani Bumiaji"
97,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Perkebunan Petani Bumiaji"
98,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Perkebunan Petani Bumiaji"
99,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Perkebunan Petani Bumiaji"
100,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Perkebunan Petani Bumiaji"
101,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Perkebunan Petani Bumiaji"
102,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Perkebunan Petani Bumiaji"
103,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Taman Langit – Oma Kayu Paralayang"
104,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Taman Langit – Oma Kayu Paralayang"
105,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Taman Langit – Oma Kayu Paralayang"
106,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Taman Langit – Oma Kayu Paralayang"
107,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Taman Langit – Oma Kayu Paralayang"
108,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Taman Langit – Oma Kayu Paralayang"
109,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Taman Langit – Oma Kayu Paralayang"
110,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Taman Langit – Oma Kayu Paralayang"
111,Malang,"Pantai Gua Cina,Pantai Teluk Asmara,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Taman Langit – Oma Kayu Paralayang"
112,Malang,"Pantai Gua Cina,Pantai Balekambang,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Taman Langit – Oma Kayu Paralayang"
113,Malang,"Pantai Gua Cina,Pantai Balekambang,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Taman Langit – Oma Kayu Paralayang"
114,Malang,"Pantai Gua Cina,Pantai Balekambang,Pananjakan,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Taman Langit – Oma Kayu Paralayang"
115,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Taman Langit – Oma Kayu Paralayang"
116,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Taman Langit – Oma Kayu Paralayang"
117,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Kingkong,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Taman Langit – Oma Kayu Paralayang"
118,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Malang Night Paradise,Taman Langit – Oma Kayu Paralayang"
119,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Museum Angkut,Taman Langit – Oma Kayu Paralayang"
120,Malang,"Pantai Gua Cina,Pantai Balekambang,Bukit Cinta,Widodaren Valley,Bukit Teletubies,Pasir Berbisik,Kawah Bromo,Gunung Batok,Pura Poten,Jatim Park 3,Taman Langit – Oma Kayu Paralayang"
121,Malang,"Museum Angkut,Pananjakan,Widodaren Valley,Kawah Bromo,Gunung Batok,Pura Poten,Padang Savana Teletubies,Pasir Berbisik"
122,Malang,"Museum Angkut,Bukit Kingkong,Widodaren Valley,Kawah Bromo,Gunung Batok,Pura Poten,Padang Savana Teletubies,Pasir Berbisik"
123,Malang,"Museum Angkut,Bukit Cinta,Widodaren Valley,Kawah Bromo,Gunung Batok,Pura Poten,Padang Savana Teletubies,Pasir Berbisik"
124,Malang,"The Lodge Maribay,Pananjakan,Widodaren Valley,Kawah Bromo,Gunung Batok,Pura Poten,Padang Savana Teletubies,Pasir Berbisik"
125,Malang,"The Lodge Maribay,Bukit Kingkong,Widodaren Valley,Kawah Bromo,Gunung Batok,Pura Poten,Padang Savana Teletubies,Pasir Berbisik"
126,Bali,"The Lodge Maribay,Bukit Cinta,Widodaren Valley,Kawah Bromo,Gunung Batok,Pura Poten,Padang Savana Teletubies,Pasir Berbisik"
127,Bali,"Tanah Lot,Desa Panglipuran,Alas Harum,Pantai Kuta,Pantai Pandawa,Krisna"
128,Bali,"Tanah Lot,Desa Panglipuran,Alas Harum,Pantai Kuta,Pantai Melasti,Krisna"
129,Bali,"Tanah Lot,Desa Panglipuran,Alas Harum,Tanjung Benoa Water Sport,Pantai Pandawa,Krisna"
130,Bali,"Tanah Lot,Desa Panglipuran,Alas Harum,Tanjung Benoa Water Sport,Pantai Melasti,Krisna"
131,Bali,"Tanah Lot,Desa Panglipuran,Alas Harum,Pantai Kuta,Pantai Pandawa,Uluwatu,Krisna,Bedugul Ulun Danu Beratan"
